GAME_DATE,HOME_TEAM,AWAY_TEAM,H2H_GAMES,H2H_HOME_WINS,H2H_AVG_MARGIN
2018-11-17,Chicago Bulls,Toronto Raptors,0,0,0.0
2018-11-17,Boston Celtics,Utah Jazz,1,0,8.0
2018-11-17,Dallas Mavericks,Golden State Warriors,0,0,0.0
2018-11-17,Orlando Magic,Los Angeles Lakers,0,0,0.0
2018-11-17,Indiana Pacers,Atlanta Hawks,0,0,0.0
2018-11-17,Charlotte Hornets,Philadelphia 76ers,2,0,1.5
2018-11-17,Brooklyn Nets,LA Clippers,0,0,0.0
2018-11-17,New Orleans Pelicans,Denver Nuggets,1,0,5.0
2018-11-18,Minnesota Timberwolves,Memphis Grizzlies,0,0,0.0
2018-11-18,Miami Heat,Los Angeles Lakers,0,0,0.0
2018-11-18,Orlando Magic,New York Knicks,1,1,-26.0
2018-11-18,Washington Wizards,Portland Trail Blazers,1,1,-1.0
2018-11-18,San Antonio Spurs,Golden State Warriors,0,0,0.0
2018-11-19,Milwaukee Bucks,Denver Nuggets,1,1,-7.0
2018-11-19,Sacramento Kings,Oklahoma City Thunder,1,1,-11.0
2018-11-19,Atlanta Hawks,LA Clippers,0,0,0.0
2018-11-19,New Orleans Pelicans,San Antonio Spurs,1,0,14.0
2018-11-19,Indiana Pacers,Utah Jazz,0,0,0.0
2018-11-19,Philadelphia 76ers,Phoenix Suns,0,0,0.0
2018-11-19,Charlotte Hornets,Boston Celtics,0,0,0.0
2018-11-19,Memphis Grizzlies,Dallas Mavericks,0,0,0.0
2018-11-19,Detroit Pistons,Cleveland Cavaliers,1,1,7.0
2018-11-20,Orlando Magic,Toronto Raptors,0,0,0.0
2018-11-20,Washington Wizards,LA Clippers,1,0,32.0
2018-11-20,Miami Heat,Brooklyn Nets,1,1,-13.0
2018-11-20,New York Knicks,Portland Trail Blazers,0,0,0.0
2018-11-21,Golden State Warriors,Oklahoma City Thunder,1,1,8.0
2018-11-21,Utah Jazz,Sacramento Kings,1,1,-6.0
2018-11-21,San Antonio Spurs,Memphis Grizzlies,0,0,0.0
2018-11-21,Dallas Mavericks,Brooklyn Nets,0,0,0.0
2018-11-21,Minnesota Timberwolves,Denver Nuggets,0,0,0.0
2018-11-21,Milwaukee Bucks,Portland Trail Blazers,1,0,15.0
2018-11-21,Cleveland Cavaliers,Los Angeles Lakers,0,0,0.0
2018-11-21,Chicago Bulls,Phoenix Suns,0,0,0.0
2018-11-21,Boston Celtics,New York Knicks,1,1,-2.0
2018-11-21,Philadelphia 76ers,New Orleans Pelicans,0,0,0.0
2018-11-21,Charlotte Hornets,Indiana Pacers,0,0,0.0
2018-11-21,Houston Rockets,Detroit Pistons,0,0,0.0
2018-11-21,Atlanta Hawks,Toronto Raptors,0,0,0.0
2018-11-23,Oklahoma City Thunder,Charlotte Hornets,1,1,-4.0
2018-11-23,Milwaukee Bucks,Phoenix Suns,0,0,0.0
2018-11-23,Golden State Warriors,Portland Trail Blazers,0,0,0.0
2018-11-23,Chicago Bulls,Miami Heat,0,0,0.0
2018-11-23,Los Angeles Lakers,Utah Jazz,0,0,0.0
2018-11-23,Indiana Pacers,San Antonio Spurs,1,1,-20.0
2018-11-23,Denver Nuggets,Orlando Magic,0,0,0.0
2018-11-23,Philadelphia 76ers,Cleveland Cavaliers,0,0,0.0
2018-11-23,Brooklyn Nets,Minnesota Timberwolves,1,0,7.0
