GAME_ID_HOME,GAME_DATE_HOME,TEAM_NAME_HOME,TEAM_NAME_AWAY,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_AWAY,FT_PCT_HOME,FT_PCT_AWAY,REB_HOME,REB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,HOME_WIN,POINT_DIFFERENTIAL,TOTAL_POINTS
0021800101,2018-10-30,Houston Rockets,Portland Trail Blazers,85,104,0.323,0.475,0.233,0.4,0.565,0.87,49,51,18,17,7,4,9,4,11,17,0,-19,189
0021800102,2018-10-30,Memphis Grizzlies,Washington Wizards,107,95,0.486,0.432,0.464,0.4,0.71,0.85,38,37,28,24,16,9,3,7,15,20,1,12,202
0021800103,2018-10-30,Oklahoma City Thunder,LA Clippers,128,110,0.511,0.473,0.529,0.35,0.719,0.767,41,38,19,18,16,6,6,7,15,24,1,18,238
0021800104,2018-10-31,Brooklyn Nets,Detroit Pistons,120,119,0.426,0.419,0.316,0.324,0.733,0.769,55,55,26,16,5,8,3,6,16,16,1,1,239
0021800105,2018-10-31,New York Knicks,Indiana Pacers,101,107,0.43,0.542,0.48,0.3,0.875,0.647,35,41,18,24,6,10,6,10,17,15,0,-6,208
0021800106,2018-10-31,Chicago Bulls,Denver Nuggets,107,108,0.424,0.455,0.471,0.269,0.722,0.611,43,56,27,24,7,7,6,9,13,16,0,-1,215
0021800107,2018-10-31,Minnesota Timberwolves,Utah Jazz,128,125,0.581,0.485,0.48,0.433,0.667,0.6,41,48,19,25,10,9,8,5,15,14,1,3,253
0021800108,2018-10-31,Golden State Warriors,New Orleans Pelicans,131,121,0.528,0.478,0.5,0.343,0.7,0.778,46,42,39,24,10,8,4,2,17,15,1,10,252
0021800109,2018-10-31,Los Angeles Lakers,Dallas Mavericks,114,113,0.512,0.5,0.588,0.448,0.75,0.737,39,40,23,24,12,5,6,5,20,23,1,1,227
0021800110,2018-10-31,Phoenix Suns,San Antonio Spurs,90,120,0.389,0.554,0.25,0.222,0.778,0.923,35,47,21,24,10,7,3,6,15,14,0,-30,210
0021800111,2018-11-01,Charlotte Hornets,Oklahoma City Thunder,107,111,0.409,0.427,0.268,0.216,0.909,0.724,51,49,26,20,7,12,3,9,17,10,0,-4,218
0021800112,2018-11-01,Cleveland Cavaliers,Denver Nuggets,91,110,0.41,0.482,0.278,0.385,0.947,0.857,35,44,18,22,11,8,4,7,13,12,0,-19,201
0021800113,2018-11-01,Philadelphia 76ers,LA Clippers,122,113,0.473,0.442,0.481,0.391,0.75,0.848,43,42,29,19,7,6,7,7,14,18,1,9,235
0021800114,2018-11-01,Atlanta Hawks,Sacramento Kings,115,146,0.483,0.541,0.258,0.4,0.676,0.813,43,46,26,38,6,14,6,3,22,14,0,-31,261
0021800115,2018-11-01,Boston Celtics,Milwaukee Bucks,117,113,0.446,0.482,0.436,0.31,0.846,0.733,42,45,30,20,5,8,8,3,12,14,1,4,230
0021800116,2018-11-01,Portland Trail Blazers,New Orleans Pelicans,132,119,0.506,0.426,0.514,0.276,0.839,0.838,46,44,26,23,4,7,4,3,14,12,1,13,251
0021800117,2018-11-02,Orlando Magic,LA Clippers,95,120,0.444,0.477,0.235,0.5,0.579,0.758,40,50,20,22,7,5,4,3,10,13,0,-25,215
0021800118,2018-11-02,Brooklyn Nets,Houston Rockets,111,119,0.494,0.494,0.441,0.385,0.6,0.688,38,41,22,22,5,4,4,10,10,9,0,-8,230
0021800119,2018-11-02,Washington Wizards,Oklahoma City Thunder,111,134,0.512,0.57,0.3,0.469,0.778,0.808,30,38,27,34,6,13,4,5,18,13,0,-23,245
0021800120,2018-11-02,Chicago Bulls,Indiana Pacers,105,107,0.472,0.471,0.419,0.269,0.889,0.909,43,42,33,21,2,8,7,9,14,11,0,-2,212
0021800121,2018-11-02,Dallas Mavericks,New York Knicks,106,118,0.494,0.548,0.379,0.241,0.625,0.731,40,40,22,26,6,13,1,4,18,12,0,-12,224
0021800122,2018-11-02,Utah Jazz,Memphis Grizzlies,100,110,0.468,0.507,0.389,0.5,0.56,0.618,39,39,21,23,3,9,5,3,14,11,0,-10,210
0021800123,2018-11-02,Phoenix Suns,Toronto Raptors,98,107,0.44,0.506,0.308,0.364,0.556,0.619,49,39,20,29,3,11,4,10,15,13,0,-9,205
0021800124,2018-11-02,Golden State Warriors,Minnesota Timberwolves,116,99,0.489,0.376,0.382,0.289,0.773,0.714,61,39,31,25,3,8,9,4,16,5,1,17,215
0021800125,2018-11-03,Philadelphia 76ers,Detroit Pistons,109,99,0.406,0.398,0.31,0.167,0.863,0.683,45,44,21,16,11,8,3,3,17,17,1,10,208
0021800126,2018-11-03,Charlotte Hornets,Cleveland Cavaliers,126,94,0.571,0.432,0.333,0.385,0.923,0.933,50,26,29,22,3,10,7,2,15,13,1,32,220
0021800127,2018-11-03,Indiana Pacers,Boston Celtics,102,101,0.419,0.432,0.344,0.413,0.76,0.667,45,45,23,23,10,6,2,8,13,14,1,1,203
0021800128,2018-11-03,Atlanta Hawks,Miami Heat,123,118,0.523,0.482,0.406,0.4,0.783,0.769,37,41,33,27,11,6,7,6,16,17,1,5,241
0021800129,2018-11-03,Chicago Bulls,Houston Rockets,88,96,0.394,0.422,0.261,0.31,0.963,0.65,37,45,15,21,13,13,4,5,19,18,0,-8,184
0021800130,2018-11-03,San Antonio Spurs,New Orleans Pelicans,109,95,0.469,0.468,0.348,0.286,0.786,0.567,43,48,29,22,8,3,4,8,9,16,1,14,204
0021800131,2018-11-03,Denver Nuggets,Utah Jazz,103,88,0.494,0.407,0.321,0.194,0.632,0.667,48,40,32,22,8,12,0,7,17,12,1,15,191
